iter	Passed	Remaining
0	0	375
1	0	343
2	0	330
3	1	320
4	1	312
5	1	306
6	2	302
7	2	294
8	2	286
9	2	285
10	3	279
11	4	360
12	4	352
13	4	344
14	5	341
15	5	337
16	5	333
17	6	330
18	6	326
19	6	323
20	6	320
21	7	318
22	7	316
23	7	313
24	7	311
25	8	310
26	8	308
27	8	305
28	9	304
29	9	301
30	9	300
31	9	297
32	10	295
33	10	306
34	11	304
35	11	303
36	11	302
37	11	301
38	12	300
39	12	299
40	12	298
41	13	297
42	13	297
43	13	295
44	13	294
45	14	293
46	14	292
47	14	291
48	15	291
49	15	290
50	15	289
51	15	288
52	16	288
53	16	287
54	16	287
55	16	286
56	17	285
57	17	284
58	17	284
59	18	283
60	18	282
61	18	282
62	18	281
63	19	280
64	19	280
65	19	278
66	19	278
67	20	277
68	20	276
69	20	276
70	21	275
71	21	275
72	21	275
73	21	274
74	22	273
75	22	273
76	22	273
77	23	272
78	23	272
79	23	271
80	23	271
81	24	270
82	24	270
83	24	269
84	25	269
85	25	268
86	25	268
87	25	267
88	26	267
89	26	267
90	26	266
91	27	266
92	27	266
93	27	266
94	27	265
95	28	265
96	28	265
97	28	265
98	29	264
99	29	264
100	29	263
101	29	263
102	30	263
103	30	262
104	30	262
105	31	261
106	31	261
107	31	261
108	31	260
109	32	260
110	32	259
111	32	259
112	33	259
113	33	258
114	33	257
115	33	257
116	34	257
117	34	256
118	34	256
119	34	256
120	35	255
121	35	255
122	35	254
123	36	254
124	36	254
125	36	253
126	36	253
127	37	252
128	37	252
129	37	252
130	37	251
131	38	251
132	38	251
133	38	250
134	39	250
135	39	250
136	39	250
137	40	250
138	40	249
139	40	249
140	40	249
141	41	249
142	41	248
143	41	248
144	42	248
145	42	247
146	42	247
147	42	247
148	43	247
149	43	246
150	43	246
151	44	245
152	44	245
153	44	245
154	44	244
155	45	244
156	45	244
157	45	243
158	46	243
159	46	243
160	46	242
161	46	242
162	47	242
163	47	241
164	47	241
165	47	240
166	48	240
167	48	240
168	48	240
169	49	239
170	49	239
171	49	239
172	50	239
173	50	238
174	50	238
175	50	238
176	51	237
177	51	237
178	51	237
179	51	236
180	52	236
181	52	236
182	52	235
183	53	235
184	53	235
185	53	234
186	53	234
187	54	234
188	54	233
189	54	233
190	55	233
191	55	233
192	55	232
193	55	232
194	56	232
195	56	231
196	56	231
197	57	231
198	57	230
199	57	230
200	57	230
201	58	229
202	58	229
203	58	229
204	59	228
205	59	228
206	59	228
207	59	228
208	60	227
209	60	227
210	60	227
211	61	226
212	61	226
213	61	226
214	61	225
215	62	225
216	62	225
217	62	224
218	62	224
219	63	224
220	63	223
221	63	223
222	64	223
223	64	222
224	64	222
225	64	222
226	65	221
227	65	221
228	65	221
229	66	221
230	66	220
231	66	220
232	66	220
233	67	219
234	67	219
235	67	219
236	67	218
237	68	218
238	68	218
239	68	217
240	69	217
241	69	217
242	69	217
243	69	216
244	70	216
245	70	216
246	70	215
247	71	215
248	71	215
249	71	214
250	71	214
251	72	214
252	72	213
253	73	215
254	73	215
255	73	214
256	74	214
257	74	215
258	75	214
259	75	214
260	75	214
261	76	214
262	76	213
263	76	213
264	76	213
265	77	213
266	77	213
267	77	212
268	78	212
269	78	212
270	78	212
271	79	211
272	79	211
273	79	211
274	80	210
275	80	210
276	80	210
277	80	210
278	81	209
279	81	209
280	81	209
281	81	208
282	82	208
283	82	208
284	82	207
285	83	207
286	83	207
287	83	207
288	84	206
289	84	206
290	84	206
291	84	206
292	85	205
293	85	205
294	85	205
295	86	204
296	86	204
297	86	204
298	87	204
299	87	203
300	87	203
301	87	203
302	88	203
303	88	202
304	88	202
305	89	202
306	89	201
307	89	201
308	90	201
309	90	201
310	90	201
311	91	201
312	91	201
313	92	201
314	92	200
315	92	200
316	92	200
317	93	199
318	93	199
319	93	199
320	93	198
321	94	198
322	94	198
323	94	197
324	95	197
325	95	197
326	95	197
327	96	196
328	96	196
329	96	196
330	96	195
331	97	195
332	97	195
333	97	194
334	97	194
335	98	194
336	98	193
337	98	193
338	99	193
339	99	192
340	99	192
341	99	192
342	100	191
343	100	191
344	100	191
345	101	191
346	101	190
347	101	190
348	101	190
349	102	189
350	102	189
351	102	189
352	103	188
353	103	188
354	103	188
355	103	187
356	104	187
357	104	187
358	104	187
359	105	186
360	105	186
361	105	186
362	105	185
363	106	185
364	106	185
365	106	184
366	107	184
367	107	184
368	107	184
369	107	183
370	108	183
371	108	183
372	109	183
373	109	183
374	109	182
375	109	182
376	110	182
377	110	181
378	110	181
379	111	181
380	111	180
381	111	180
382	111	180
383	112	179
384	112	179
385	112	179
386	112	178
387	113	178
388	113	178
389	113	178
390	114	177
391	114	177
392	114	177
393	114	176
394	115	176
395	115	176
396	115	175
397	116	175
398	116	175
399	116	174
400	116	174
401	117	174
402	117	174
403	117	173
404	118	173
405	118	173
406	118	172
407	118	172
408	119	172
409	119	172
410	119	171
411	120	172
412	120	171
413	121	171
414	121	171
415	121	170
416	122	170
417	122	170
418	122	170
419	122	169
420	123	169
421	123	169
422	123	168
423	124	168
424	124	168
425	124	168
426	125	167
427	125	167
428	125	167
429	125	166
430	126	166
431	126	166
432	126	165
433	127	165
434	127	165
435	127	165
436	127	164
437	128	164
438	128	164
439	129	164
440	129	163
441	129	163
442	129	163
443	130	163
444	130	162
445	130	162
446	131	162
447	131	161
448	131	161
449	131	161
450	132	160
451	132	160
452	132	160
453	133	159
454	133	159
455	133	159
456	133	159
457	134	158
458	134	158
459	134	158
460	135	158
461	135	157
462	135	157
463	135	157
464	136	156
465	136	156
466	136	156
467	137	155
468	137	155
469	137	155
470	137	154
471	138	154
472	138	154
473	138	154
474	139	153
475	139	153
476	139	153
477	139	152
478	140	152
479	140	152
480	140	151
481	141	151
482	141	151
483	141	151
484	141	150
485	142	150
486	142	150
487	142	149
488	143	149
489	143	149
490	143	149
491	144	148
492	144	148
493	144	148
494	144	147
495	145	147
496	145	147
497	145	147
498	146	146
499	146	146
500	146	146
501	146	145
502	147	145
503	147	145
504	147	144
505	148	144
506	148	144
507	148	143
508	148	143
509	149	143
510	149	143
511	149	142
512	150	142
513	150	142
514	150	141
515	150	141
516	151	141
517	151	140
518	151	140
519	152	140
520	152	140
521	152	139
522	152	139
523	153	139
524	153	138
525	153	138
526	153	138
527	154	137
528	154	137
529	154	137
530	155	137
531	155	136
532	155	136
533	156	136
534	156	135
535	156	135
536	157	135
537	157	135
538	157	134
539	158	134
540	158	134
541	158	134
542	159	133
543	159	133
544	159	133
545	159	132
546	160	132
547	160	132
548	160	132
549	161	131
550	161	131
551	161	131
552	161	130
553	162	130
554	162	130
555	162	130
556	163	129
557	163	129
558	163	129
559	163	128
560	164	128
561	164	128
562	164	127
563	165	127
564	165	127
565	165	127
566	166	126
567	166	126
568	166	126
569	166	125
570	167	125
571	167	125
572	167	124
573	167	124
574	168	124
575	168	124
576	168	123
577	169	123
578	169	123
579	169	122
580	169	122
581	170	122
582	170	122
583	170	121
584	171	121
585	171	121
586	171	120
587	172	120
588	172	120
589	172	120
590	173	119
591	173	119
592	173	119
593	173	118
594	174	118
595	174	118
596	174	117
597	175	117
598	175	117
599	175	117
600	175	116
601	176	116
602	176	116
603	176	115
604	176	115
605	177	115
606	177	114
607	177	114
608	178	114
609	178	114
610	178	113
611	178	113
612	179	113
613	179	112
614	179	112
615	180	112
616	180	111
617	180	111
618	180	111
619	181	111
620	181	110
621	181	110
622	182	110
623	182	109
624	182	109
625	183	109
626	183	109
627	183	108
628	183	108
629	184	108
630	184	107
631	184	107
632	185	107
633	185	107
634	185	106
635	186	106
636	186	106
637	186	105
638	186	105
639	187	105
640	187	105
641	187	104
642	188	104
643	188	104
644	188	103
645	189	103
646	189	103
647	189	103
648	189	102
649	190	102
650	190	102
651	190	101
652	191	101
653	191	101
654	191	100
655	191	100
656	192	100
657	192	100
658	192	99
659	193	99
660	193	99
661	193	98
662	193	98
663	194	98
664	194	97
665	194	97
666	195	97
667	195	97
668	195	96
669	195	96
670	196	96
671	196	95
672	196	95
673	197	95
674	197	95
675	197	94
676	197	94
677	198	94
678	198	93
679	198	93
680	199	93
681	199	92
682	199	92
683	199	92
684	200	92
685	200	91
686	200	91
687	201	91
688	201	90
689	201	90
690	202	90
691	202	90
692	202	89
693	203	89
694	203	89
695	203	88
696	203	88
697	204	88
698	204	88
699	204	87
700	205	87
701	205	87
702	205	86
703	205	86
704	206	86
705	206	85
706	206	85
707	207	85
708	207	85
709	207	84
710	207	84
711	208	84
712	208	83
713	208	83
714	209	83
715	209	83
716	209	82
717	209	82
718	210	82
719	210	81
720	210	81
721	211	81
722	211	80
723	211	80
724	211	80
725	212	80
726	212	79
727	212	79
728	213	79
729	213	78
730	213	78
731	213	78
732	214	78
733	214	77
734	214	77
735	215	77
736	215	76
737	215	76
738	215	76
739	216	75
740	216	75
741	216	75
742	217	75
743	217	74
744	217	74
745	218	74
746	218	73
747	218	73
748	218	73
749	219	73
750	219	72
751	219	72
752	220	72
753	220	71
754	220	71
755	220	71
756	221	71
757	221	70
758	221	70
759	222	70
760	222	69
761	222	69
762	222	69
763	223	68
764	223	68
765	223	68
766	224	68
767	224	67
768	224	67
769	224	67
770	225	66
771	225	66
772	225	66
773	226	66
774	226	65
775	226	65
776	226	65
777	227	64
778	227	64
779	227	64
780	228	63
781	228	63
782	228	63
783	228	63
784	229	62
785	229	62
786	229	62
787	230	61
788	230	61
789	230	61
790	231	61
791	231	60
792	231	60
793	231	60
794	232	59
795	232	59
796	232	59
797	233	58
798	233	58
799	233	58
800	233	58
801	234	57
802	234	57
803	234	57
804	235	56
805	235	56
806	235	56
807	235	56
808	236	55
809	236	55
810	236	55
811	237	54
812	237	54
813	237	54
814	237	54
815	238	53
816	238	53
817	238	53
818	239	52
819	239	52
820	239	52
821	239	51
822	240	51
823	240	51
824	240	51
825	241	50
826	241	50
827	241	50
828	242	49
829	242	49
830	242	49
831	242	49
832	243	48
833	243	48
834	243	48
835	244	47
836	244	47
837	244	47
838	244	46
839	245	46
840	245	46
841	245	46
842	246	45
843	246	45
844	246	45
845	246	44
846	247	44
847	247	44
848	247	44
849	248	43
850	248	43
851	248	43
852	248	42
853	249	42
854	249	42
855	249	42
856	250	41
857	250	41
858	250	41
859	250	40
860	251	40
861	251	40
862	251	39
863	252	39
864	252	39
865	252	39
866	252	38
867	253	38
868	253	38
869	253	37
870	254	37
871	254	37
872	254	37
873	255	36
874	255	36
875	255	36
876	257	36
877	257	35
878	257	35
879	258	35
880	258	34
881	258	34
882	258	34
883	259	34
884	259	33
885	259	33
